252.673813,320.536560,1.000000;314.483551,341.584229,1.000000;427.553040,344.731445,1.000000;481.673279,336.803680,1.000000;691.871521,318.117798,1.000000;801.066528,339.432373,1.000000;881.704285,330.091614,1.000000;254.227859,394.466217,1.000000;325.664429,414.363037,1.000000;401.144012,420.351501,1.000000;491.378265,415.290375,1.000000;571.967773,402.245270,1.000000;681.227417,398.459045,1.000000;757.586426,401.695557,1.000000;827.034851,377.071167,1.000000;901.525330,413.458649,1.000000;246.846832,470.180145,1.000000;312.984497,470.160828,1.000000;443.989624,473.788574,1.000000;490.528290,506.595734,1.000000;575.601807,492.285309,1.000000;692.008667,473.095978,1.000000;763.881104,503.911163,1.000000;455.716705,571.757507,1.000000;496.348450,567.475586,1.000000;588.742859,563.047852,1.000000;689.412170,577.948608,1.000000;738.968018,560.357605,1.000000|574.421204,245.373978,1.000000;606.939758,297.049744,1.000000;623.739258,337.121429,1.000000
252.816727,320.087189,1.992523;314.621796,341.157135,1.488718;427.674347,344.345337,1.637439;481.809082,336.400513,1.795563;692.146545,317.700165,2.342857;801.322327,339.010010,2.814450;881.960754,329.624207,2.469014;254.352982,394.030975,1.215034;325.779968,413.943665,1.670660;401.273163,419.896027,1.585027;491.512329,414.961548,1.319965;572.189270,401.925323,2.292243;681.384033,398.079254,1.551018;757.787598,401.341217,2.164664;827.303345,376.646423,2.858576;901.765320,413.203308,1.467705;246.982544,469.762329,1.306028;313.156860,469.851868,2.012784;444.114349,473.568726,2.024001;490.644867,506.473663,0.807246;575.750000,492.102661,1.647828;692.156921,472.631805,2.701741;763.954712,503.604248,1.728366;455.821472,571.695923,1.021762;496.474823,567.358276,1.067606;588.887329,562.918762,2.022391;689.537537,577.811768,1.915862;739.129028,560.243286,1.177576|574.629211,244.937836,1.342685;607.200928,296.646576,1.370779;623.990906,336.721649,1.367379
252.674088,320.538300,2.028707;314.471954,341.571808,1.429110;427.528839,344.734222,1.565812;481.665070,336.795258,1.599517;691.879761,318.112946,1.997361;801.079651,339.505280,2.195201;881.793518,330.031586,2.156775;254.203995,394.471313,1.347863;325.639862,414.412048,1.903951;401.101227,420.392181,1.954136;491.367737,415.294250,1.151196;571.988220,402.316376,2.241690;681.378967,398.483582,1.400395;757.574768,401.771942,1.429430;827.056091,377.169739,2.025479;901.628601,413.528778,1.327879;246.788239,470.392273,1.776284;312.941101,470.311401,1.857278;443.929596,473.940247,2.048038;490.496033,506.792358,0.963788;575.598389,492.514587,1.799244;692.023926,473.157898,1.753264;763.879333,504.047119,1.404408;455.659821,572.075806,1.304474;496.319061,567.737610,1.065576;588.715271,563.327271,1.902934;689.399475,578.226685,1.227773;738.967529,560.587708,1.209303|574.522644,245.267303,1.144624;607.073792,296.910645,0.972150;623.783997,337.119171,1.343289
252.670547,320.729218,0.733532;314.401886,341.757294,1.083073;427.434998,344.955353,1.858232;481.632660,337.033905,1.480204;691.876526,318.344696,1.849954;801.084351,339.587708,1.359657;881.707581,330.212250,2.035171;254.145508,394.653717,0.809516;325.572540,414.574768,1.157227;401.020538,420.520111,1.347827;491.288696,415.469940,0.882922;571.968384,402.510223,1.517277;681.233337,398.683350,1.035259;757.575745,401.859619,1.325488;827.071838,377.260437,1.084575;901.527405,413.653381,1.278030;246.732300,470.400208,0.463888;312.893616,470.395660,1.112605;443.851257,474.063812,1.329172;490.423218,506.975616,1.078227;575.525757,492.591431,0.996155;691.993347,473.291718,0.987188;763.824890,504.237610,1.240953;455.580292,572.228149,1.134295;496.249847,567.846069,0.881148;588.648682,563.430542,1.401873;689.313965,578.330566,1.074459;738.867920,560.716309,1.000144|574.419434,245.584778,0.662702;606.936340,297.298401,0.885525;623.720642,337.388672,1.037089
252.569351,320.821136,1.159770;314.362701,341.845825,0.700480;427.396576,345.067413,0.992935;481.592133,337.124207,1.598656;691.812683,318.385590,2.429534;800.949524,339.666016,1.063982;881.592834,330.280945,1.409726;254.072495,394.735229,0.804915;325.506165,414.674561,0.509828;401.008301,420.736237,0.698309;491.276520,415.669159,0.548006;571.850403,402.548615,1.342741;681.127686,398.791077,0.816597;757.511780,401.963776,0.886166;826.964600,377.331512,0.997974;901.419434,413.755646,1.025944;246.730972,470.617004,0.416214;312.889435,470.610382,0.621203;443.846130,474.243896,1.411256;490.375336,507.029266,0.489303;575.471252,492.645325,0.654628;691.877075,473.357208,1.866770;763.750671,504.278198,0.911392;455.556030,572.236145,0.435966;496.226379,567.859070,0.455133;588.648682,563.430542,0.000000;689.313965,578.330566,0.000000;738.867920,560.716309,0.000000|574.348022,245.552338,0.924977;606.944824,297.366364,1.661208;623.617737,337.405640,0.654696
252.685593,320.591217,1.090005;314.545868,341.699524,1.121251;427.577057,344.909119,1.264277;481.728210,336.928009,1.520237;691.970337,318.167542,1.953035;801.090881,339.521484,1.080354;881.712585,330.081512,2.031815;254.247101,394.593872,1.362229;325.662720,414.545685,0.783565;401.164062,420.469757,2.037494;491.398743,415.398651,1.098596;571.999573,402.373291,2.016372;681.262634,398.666748,1.130671;757.578979,401.832520,1.105993;827.104370,377.201721,1.739335;901.533386,413.625214,1.051258;246.850739,470.397766,1.059913;312.990936,470.379211,1.825199;443.991028,474.032227,2.314899;490.544891,506.839691,1.058351;575.620605,492.490723,0.964369;692.039062,473.205261,1.743969;763.886902,504.122406,1.132934;455.707062,572.014648,1.540009;496.374725,567.675903,1.357286;588.770264,563.299438,2.018923;689.436829,578.205322,1.690075;739.019348,560.598267,1.037882|574.419312,245.388947,0.938814;606.946106,297.128296,0.752022;623.718872,337.201538,0.833461
252.920456,320.365326,2.707436;314.727661,341.480835,3.219579;427.732056,344.593506,3.532744;481.971497,336.646088,3.713347;692.214844,317.873138,2.234429;801.335632,339.319855,2.129429;882.023193,329.867432,2.569432;254.468414,394.314972,2.426787;325.924042,414.298706,2.088868;401.373230,420.189056,1.925421;491.604645,415.118134,1.496616;572.252502,402.105347,2.410147;681.543945,398.363678,1.519219;757.819153,401.538330,1.443603;827.342163,376.921234,2.690231;901.794006,413.258209,2.844859;247.088821,470.030792,1.645825;313.231293,470.044586,2.726720;444.231079,473.710175,2.846686;490.756531,506.527893,1.300237;575.849365,492.161194,2.463367;692.303040,472.873657,3.070101;764.138000,503.760254,1.214241;455.949402,571.672913,1.638484;496.579407,567.370178,1.331551;588.991089,562.903198,3.527353;689.624329,577.895264,2.108256;739.272400,560.289185,1.765214|574.685669,245.110123,2.419450;607.209656,296.859711,1.300618;623.985352,336.931122,1.792984
252.921265,320.108795,1.041523;314.726959,341.253662,0.616574;427.835510,344.464081,0.917988;481.955322,336.488953,1.178849;692.201355,317.709656,2.652890;801.340393,339.097534,1.627002;882.142212,329.657867,2.168757;254.468613,394.076294,0.598404;325.924164,414.056915,1.157692;401.361176,420.114227,1.256340;491.588684,415.071594,1.155890;572.241577,401.976318,1.266720;681.511169,398.188110,2.049492;757.832336,401.364471,0.877379;827.365356,376.757935,1.755567;901.794006,413.258209,0.000000;247.063065,469.876953,0.665157;313.220764,469.898712,1.188838;444.231232,473.611755,0.700904;490.754730,506.398041,0.356197;575.850708,492.020233,0.959130;692.302979,472.741211,0.406442;764.142578,503.649231,0.427568;455.936890,571.564270,0.458750;496.579803,567.238647,0.430748;589.005615,562.822510,1.319749;689.626831,577.760437,0.528346;739.271973,560.157837,0.708714|574.671326,244.957336,1.300165;607.201660,296.632996,1.217020;623.970764,336.841034,1.389818
252.921265,320.108795,0.000000;314.726654,341.254120,0.056617;427.835510,344.464966,0.047017;481.954712,336.500061,0.385108;692.163574,317.705383,0.477104;801.341492,339.096680,0.092937;882.031555,329.669464,1.963175;254.468613,394.076294,0.000000;325.924164,414.056915,0.000000;401.361176,420.114227,0.000000;491.588684,415.071594,0.000000;572.241577,401.976318,0.000000;681.544312,398.098267,0.720216;757.836853,401.336426,0.626037;827.339905,376.766052,0.676467;901.794006,413.258209,0.000000;247.063065,469.876953,0.000000;313.220764,469.898712,0.000000;444.213928,473.629028,0.733989;490.744141,506.443726,0.892317;575.847351,492.053833,1.828800;692.313110,472.801636,1.548727;764.138306,503.678284,0.654360;455.937073,571.593323,0.540249;496.564667,567.285278,1.112701;588.984436,562.861877,2.068691;689.594543,577.834534,1.982339;739.271851,560.191528,1.267874|574.661133,244.951599,0.276264;607.201660,296.633057,0.040365;623.986267,336.762573,0.868953
252.777039,320.330719,2.244029;314.526245,341.419159,2.847086;427.634277,344.511688,3.102060;481.737183,336.601868,3.354207;691.903503,317.856750,2.492106;801.117432,339.163452,1.919374;881.798584,329.717743,2.745210;254.272934,394.271637,1.808815;325.677032,414.193787,1.949070;401.178802,420.204224,2.518715;491.402191,415.127045,1.137615;572.042175,402.076416,1.760625;681.382263,398.262543,1.776877;757.607605,401.448578,1.485318;827.122925,376.802582,2.097635;901.554688,413.298645,1.661953;246.855713,470.162567,1.440179;313.042206,470.005280,2.855392;444.086487,473.709137,1.417632;490.589142,506.476990,0.937708;575.657043,492.231598,2.546352;692.077759,472.854736,2.365224;763.870850,503.706451,1.171256;455.789459,571.755615,1.086974;496.454346,567.403259,1.133090;588.770203,563.064514,1.749844;689.458557,577.926758,1.534782;739.108887,560.383728,1.282500|574.552795,245.032990,0.936218;607.083252,296.743378,0.734597;623.799133,336.874847,1.172730
