# Gnuplot File : positions of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 
0.65	0.105126 -0.0227539 0.225953 0.438891 0.497277 -0.421782 -0.618216	
0.66	0.105039 -0.0227502 0.225889 0.439449 0.496471 -0.421614 -0.618581	
0.67	0.105039 -0.0227502 0.225889 0.440593 0.494883 -0.420845 -0.619562	
0.68	0.105039 -0.0227502 0.225889 0.441227 0.494134 -0.42006 -0.620242	
0.69	0.105039 -0.0227502 0.225889 0.44186 0.493383 -0.419274 -0.62092	
0.7	0.105148 -0.0228427 0.225734 0.442369 0.49279 -0.418476 -0.621566	
0.71	0.105209 -0.0228946 0.225807 0.441241 0.492792 -0.419323 -0.621796	
0.72	0.105209 -0.0228946 0.225807 0.440801 0.492981 -0.419731 -0.621684	
0.73	0.105209 -0.0228946 0.225807 0.440675 0.492888 -0.420536 -0.621303	
0.74	0.105209 -0.0228946 0.225807 0.44036 0.493169 -0.420138 -0.621571	
0.75	0.105358 -0.0229502 0.225945 0.441318 0.493041 -0.420282 -0.620897	
0.76	0.105419 -0.023002 0.226019 0.441002 0.493323 -0.419885 -0.621165	
0.77	0.10548 -0.0230538 0.226092 0.442006 0.493228 -0.419842 -0.620556	
0.78	0.10548 -0.0230538 0.226092 0.442006 0.493228 -0.419842 -0.620556	
0.79	0.105541 -0.0231056 0.226166 0.442253 0.493603 -0.419811 -0.620103	
0.8	0.105541 -0.0231056 0.226166 0.443133 0.493226 -0.418994 -0.620327	
0.81	0.105602 -0.0231573 0.22624 0.443572 0.493037 -0.418585 -0.620439	
0.82	0.105602 -0.0231573 0.22624 0.444012 0.492848 -0.418176 -0.620551	
0.83	0.105493 -0.0230648 0.226395 0.444821 0.492874 -0.417747 -0.620239	
0.84	0.10558 -0.0230685 0.226459 0.445407 0.492086 -0.417145 -0.620849	
0.85	0.10558 -0.0230685 0.226459 0.445653 0.492463 -0.417112 -0.620396	
0.86	0.105471 -0.022976 0.226615 0.446216 0.492113 -0.416715 -0.620536	
0.87	0.105362 -0.0228833 0.22677 0.446778 0.491762 -0.416318 -0.620676	
0.88	0.105144 -0.0226978 0.227081 0.446587 0.49163 -0.416754 -0.620625	
0.89	0.104947 -0.0226012 0.227172 0.445001 0.492259 -0.418221 -0.620279	
0.9	0.104581 -0.0223597 0.227345 0.44329 0.49235 -0.41973 -0.620413	
0.91	0.104174 -0.0221553 0.227226 0.442185 0.492821 -0.420599 -0.620238	
0.92	0.103856 -0.0219545 0.22717 0.441474 0.49307 -0.421243 -0.62011	
0.93	0.103401 -0.0217081 0.227279 0.440934 0.493192 -0.421716 -0.620077	
0.94	0.103083 -0.0215068 0.227223 0.441104 0.493065 -0.421544 -0.620173	
0.95	0.102738 -0.021353 0.227176 0.441322 0.492973 -0.421188 -0.620334	
0.96	0.102373 -0.0211096 0.227349 0.441616 0.492685 -0.42103 -0.62046	
