# Gnuplot File : positions of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 
0.62	0.145267 0.169679 0.390547 -0.141107 -0.00933246 -0.0272873 0.989574	
0.63	0.145177 0.169432 0.390304 -0.140815 -0.0093982 -0.0272885 0.989615	
0.64	0.145082 0.169179 0.390054 -0.140519 -0.00946806 -0.0272872 0.989657	
0.65	0.144991 0.168932 0.38981 -0.140223 -0.00953482 -0.0272879 0.989698	
0.66	0.144897 0.168682 0.389561 -0.139924 -0.00960464 -0.0272867 0.98974	
0.67	0.144807 0.168435 0.389318 -0.139625 -0.00967199 -0.027287 0.989781	
0.68	0.144714 0.168186 0.38907 -0.139323 -0.0097417 -0.0272858 0.989823	
0.69	0.144623 0.16794 0.388827 -0.13902 -0.00980959 -0.0272858 0.989865	
0.7	0.144531 0.167693 0.388581 -0.138714 -0.009879 -0.0272848 0.989907	
0.71	0.144441 0.167448 0.388338 -0.138408 -0.00994724 -0.0272849 0.989949	
0.72	0.144349 0.167201 0.388093 -0.138099 -0.0100168 -0.0272845 0.989992	
0.73	0.144259 0.166957 0.38785 -0.137789 -0.0100854 -0.0272849 0.990034	
0.74	0.144169 0.166712 0.387606 -0.137477 -0.0101551 -0.0272848 0.990077	
0.75	0.144079 0.166469 0.387365 -0.137164 -0.0102238 -0.0272857 0.99012	
0.76	0.143989 0.166225 0.387122 -0.136848 -0.0102934 -0.0272862 0.990163	
0.77	0.1439 0.165983 0.386881 -0.136531 -0.0103624 -0.0272873 0.990206	
0.78	0.143811 0.16574 0.38664 -0.136212 -0.0104322 -0.0272882 0.990249	
0.79	0.143722 0.165499 0.3864 -0.135891 -0.0105013 -0.0272898 0.990292	
0.8	0.143633 0.165258 0.386159 -0.135569 -0.0105712 -0.027291 0.990336	
0.81	0.143546 0.165017 0.38592 -0.135245 -0.0106406 -0.0272928 0.990379	
0.82	0.143457 0.164777 0.385681 -0.134919 -0.0107107 -0.0272942 0.990423	
0.83	0.143369 0.164538 0.385443 -0.134592 -0.0107806 -0.0272961 0.990466	
0.84	0.143282 0.164299 0.385204 -0.134262 -0.0108506 -0.0272979 0.99051	
0.85	0.143194 0.164061 0.384967 -0.133932 -0.0109208 -0.0273 0.990554	
0.86	0.143107 0.163824 0.38473 -0.133599 -0.0109913 -0.027302 0.990598	
0.87	0.143019 0.163587 0.384494 -0.133265 -0.011062 -0.0273041 0.990642	
0.88	0.142931 0.163351 0.384259 -0.13293 -0.0111333 -0.0273062 0.990687	
0.89	0.142844 0.163116 0.384024 -0.132593 -0.0112048 -0.0273086 0.990731	
0.9	0.142755 0.162882 0.38379 -0.132254 -0.0112772 -0.0273109 0.990775	
0.91	0.142667 0.162649 0.383556 -0.131915 -0.0113501 -0.0273132 0.99082	
0.92	0.142578 0.162416 0.383322 -0.131574 -0.0114235 -0.0273156 0.990864	
0.93	0.142488 0.162185 0.383089 -0.131233 -0.0114978 -0.0273178 0.990908	
0.94	0.142398 0.161954 0.382856 -0.130889 -0.0115722 -0.0273201 0.990953	
0.95	0.142308 0.161724 0.382624 -0.130545 -0.0116476 -0.0273221 0.990997	
0.96	0.142218 0.161495 0.382392 -0.130199 -0.0117233 -0.0273242 0.991042	
0.97	0.142127 0.161267 0.382161 -0.129852 -0.0117995 -0.0273263 0.991087	
0.98	0.142037 0.161039 0.38193 -0.129503 -0.0118758 -0.0273285 0.991131	
0.99	0.141946 0.160812 0.381699 -0.129152 -0.0119525 -0.027331 0.991176	
1	0.141856 0.160585 0.381469 -0.1288 -0.0120291 -0.0273338 0.991221	
1.01	0.141766 0.16036 0.38124 -0.128447 -0.0121062 -0.0273366 0.991266	
1.02	0.141676 0.160134 0.38101 -0.128091 -0.0121831 -0.0273398 0.991311	
1.03	0.141586 0.15991 0.380782 -0.127734 -0.0122607 -0.027343 0.991356	
1.04	0.141497 0.159686 0.380554 -0.127376 -0.0123378 -0.0273465 0.991401	
