249.962524,306.010651,1.000000;318.941650,335.746857,1.000000;432.090515,341.397522,1.000000;481.113708,327.950592,1.000000;693.971313,317.809296,1.000000;780.974487,354.092834,1.000000;849.445374,357.156036,1.000000;250.068481,415.919006,1.000000;320.235870,404.596466,1.000000;404.125244,416.411163,1.000000;493.896973,413.098511,1.000000;574.061646,401.729126,1.000000;683.383240,398.029388,1.000000;759.144043,401.324432,1.000000;865.985474,399.027924,1.000000;902.128296,400.922516,1.000000;253.819458,469.244507,1.000000;315.795166,464.183258,1.000000;445.836426,470.351685,1.000000;506.020660,515.364624,1.000000;569.017578,497.468628,1.000000;671.735413,507.182587,1.000000;764.353882,503.918121,1.000000;887.819946,506.657562,1.000000;394.458954,553.563538,1.000000;497.010986,565.485901,1.000000;592.120789,557.475586,1.000000;689.809875,577.843262,1.000000;738.036621,559.672424,1.000000|587.311340,299.911987,1.000000;627.027222,296.470764,1.000000;538.221069,329.293427,1.000000;618.490112,337.588196,1.000000
250.184357,306.246185,1.983772;319.041992,335.935303,1.617979;432.334412,341.536407,1.418425;481.371521,328.087463,1.436303;693.973694,318.066498,2.028178;781.112915,354.203857,1.435562;849.555542,357.275024,0.929867;250.189484,415.922424,1.315243;320.288940,404.612030,0.747461;404.125244,416.411163,0.000000;494.017242,413.198425,0.953019;574.187988,401.844330,1.319444;683.495178,398.167664,1.723416;759.265503,401.441528,1.164804;866.129456,399.162201,1.649870;902.242126,401.044708,1.779300;253.883194,469.266205,1.142722;315.825287,464.184692,0.808507;445.860565,470.374939,0.824138;506.020660,515.364624,0.000000;569.034180,497.476471,0.619617;671.735413,507.182587,0.000000;764.433289,504.000763,0.908621;887.858398,506.651917,1.338071;394.459961,553.560364,0.049032;497.010986,565.485901,0.000000;592.120789,557.475586,0.000000;689.820618,577.841675,0.485070;738.040588,559.667603,0.522395|587.362244,300.184998,0.632529;627.024841,296.690399,0.792988;538.319458,329.468079,1.132633;618.508484,337.813232,0.542071
249.713196,305.761475,1.933868;318.700012,335.520752,2.854887;431.822174,341.175262,2.458101;480.811310,327.702820,1.746436;693.689697,317.580170,2.972162;780.697876,353.833984,1.421717;849.204590,356.737762,2.136566;249.751526,415.486908,1.809332;319.964478,404.361755,1.655225;403.833344,416.189209,2.073798;493.632019,412.849426,1.523360;573.763489,401.496338,1.393647;683.134888,397.768524,1.764842;758.848938,401.059692,1.618788;865.687317,398.516205,1.610326;901.788757,400.413208,2.021915;253.529312,468.845001,2.188045;315.438507,463.815765,1.995839;445.476807,469.923126,2.163327;505.627258,514.916504,2.605432;568.619202,497.033661,2.613354;671.388428,506.713226,2.132093;763.959656,503.409149,1.776204;887.507812,506.021484,2.899554;394.078522,553.121948,1.509183;496.622406,565.002808,2.128472;591.712097,556.992310,1.860542;689.458130,577.346985,2.268374;737.683777,559.145935,2.197220|587.035889,299.664948,1.106578;626.742615,296.248718,1.159518;537.930969,329.059296,1.863358;618.255615,337.392029,0.857843
249.476120,305.270233,1.282167;318.453186,334.991608,2.097827;431.559845,340.455292,2.657323;480.604248,326.950104,1.704605;693.474243,316.809174,1.575300;780.470642,353.089752,0.840846;848.928406,356.154083,2.165249;249.554703,415.184448,1.310041;319.697296,403.807953,1.785135;403.591736,415.509827,2.447897;493.411957,412.099945,0.563129;573.544678,400.719482,0.901909;682.861572,397.033386,1.042492;758.606384,400.313507,1.441801;865.489075,398.023926,1.390871;901.580017,399.899414,1.403158;253.348114,468.476013,1.246880;315.320068,463.412720,1.432486;445.353973,469.488647,1.637904;505.514221,514.485291,1.979767;568.506104,496.587006,2.230620;671.274170,506.263184,1.636114;763.833069,502.868317,1.291783;887.482300,505.575745,1.979900;393.946198,552.669250,0.979431;496.523285,564.513245,1.881260;591.598572,556.510132,1.912602;689.362549,576.816101,1.593854;737.622070,558.586243,1.978726|586.799194,299.014832,1.070041;626.512573,295.471069,0.761158;537.686401,328.299561,1.225274;618.000488,336.607727,0.872393
249.698120,305.490814,0.847655;318.679565,335.256897,1.422221;431.806305,340.781555,1.800834;480.837433,327.348633,2.587478;693.703491,317.232697,2.336750;780.703857,353.475769,1.698169;849.220276,356.510529,2.127403;249.781174,415.409210,1.044318;319.955780,404.099457,1.340790;403.829742,415.839508,1.757313;493.646027,412.473114,1.335208;573.776062,401.134247,1.393551;683.148193,397.422119,1.970484;758.847839,400.671906,1.667816;865.730042,398.286835,2.788603;901.828796,400.166809,2.843506;253.571320,468.716217,1.001362;315.545715,463.657257,1.078564;445.575928,469.771851,1.291438;505.756500,514.794800,1.434364;568.744690,496.901276,1.749211;671.504700,506.598083,1.543469;764.102844,503.281311,1.073986;887.644897,505.866211,1.514446;394.210846,552.958618,1.060429;496.771271,564.960449,1.694969;591.841492,556.928345,1.863774;689.585266,577.305115,1.471954;737.853333,559.106934,1.761442|587.067139,299.429840,1.151300;626.757385,295.892090,1.177224;537.955383,328.766449,1.449679;618.282166,337.141205,1.146430
249.966110,305.774872,1.845508;318.946442,335.530457,1.606465;432.084137,341.169464,1.994477;481.074188,327.712952,1.980468;693.983643,317.585144,2.198738;780.971985,353.845673,2.527117;849.453491,356.864838,1.696767;250.068344,415.685822,1.713596;320.230804,404.373474,1.716231;404.115906,416.201904,1.685890;493.891571,412.846741,1.653118;574.042603,401.525024,1.631872;683.395203,397.774445,1.474637;759.132141,401.075439,1.748294;865.998840,398.766876,2.120471;902.114319,400.603424,1.430443;253.813904,469.006744,2.124599;315.782959,463.926147,1.925890;445.802002,470.081726,1.947224;506.020264,515.136414,2.254101;569.007446,497.231323,2.009283;671.734192,506.864410,1.827767;764.326538,503.628479,1.284426;887.818909,506.242523,2.097374;394.451233,553.264832,1.056232;496.991486,565.134766,2.567494;592.091370,557.116455,1.943708;689.793762,577.528625,1.749379;737.958984,559.296265,2.083353|587.312500,299.679718,1.187051;627.037537,296.233734,1.629429;538.204224,329.058716,1.692142;618.510559,337.391754,1.508739
250.042587,305.912567,1.384744;318.955353,335.685059,1.563621;432.048859,341.268036,1.092689;481.054108,327.799530,1.066437;693.979370,317.658691,2.281042;780.961731,353.960968,1.088920;849.445251,357.008575,1.630939;250.106079,415.683258,1.354791;320.271942,404.527069,0.937892;404.077362,416.272827,1.286508;493.909760,412.883789,1.350654;574.021790,401.621643,1.519067;683.374695,397.918427,2.089140;759.124329,401.184418,0.928789;865.996155,398.897705,1.696847;902.091919,400.745972,1.410155;253.835480,469.119476,1.619453;315.782074,464.061218,1.654023;445.789703,470.280304,1.977761;505.978516,515.180664,1.752964;568.978455,497.329468,1.930139;671.718933,506.982483,1.617102;764.326843,503.765198,0.699783;887.810547,506.422150,1.585392;394.462585,553.515991,1.010925;496.987732,565.351196,2.148008;592.071228,557.256287,2.286484;689.798157,577.642212,1.232355;738.007751,559.426147,0.958618|587.364990,299.855774,1.174296;627.123230,296.297668,1.538795;538.151123,329.173615,1.065095;618.496399,337.458893,0.533753
249.724045,305.909882,1.531178;318.701172,335.646271,1.697776;431.882019,341.257599,0.901725;480.878815,327.814545,0.995374;693.785095,317.616852,1.575071;780.711243,353.861389,1.942017;849.215698,356.880707,1.120775;249.806290,415.808075,1.765867;320.026184,404.484650,1.707232;403.909546,416.282471,1.231562;493.686188,412.891815,1.363474;573.842224,401.580597,1.863142;683.253906,397.804047,1.550662;758.942017,401.151276,1.050341;865.726196,398.766052,1.905053;901.822876,400.680023,1.296897;253.579147,469.086823,2.669110;315.554779,464.022827,2.532495;445.624603,470.194702,1.901765;505.763824,515.178955,2.624532;568.798279,497.307800,2.041715;671.565002,506.994080,1.798791;764.063904,503.640961,1.359277;887.575562,506.218811,1.532512;394.263184,553.303894,1.037466;496.694702,565.175415,1.854051;591.811035,557.130249,1.012447;689.599854,577.531006,1.410203;737.804077,559.310608,1.319256|587.116882,299.753815,0.928093;626.825806,296.264709,0.893206;537.978821,329.152618,1.128476;618.364319,337.455048,0.641348
249.680817,305.474426,1.510316;318.578033,335.271240,0.883578;431.761383,340.837189,1.192162;480.786316,327.419128,1.844651;693.636536,317.242920,1.888012;780.700439,353.352203,1.152730;849.205505,356.404999,1.916487;249.691620,415.338623,1.446507;319.872314,404.071594,1.603758;403.767242,415.815979,1.711557;493.683777,412.425507,1.260144;573.729980,401.143036,1.484029;683.118164,397.343292,1.549092;758.845154,400.530121,1.442538;865.723999,398.300751,1.676759;901.800049,400.186676,1.546028;253.568680,468.483643,1.528995;315.480286,463.569183,2.476744;445.536072,469.563629,1.014129;505.691833,514.601196,1.633755;568.703369,496.682861,1.825600;671.479126,506.365814,1.505082;764.085999,503.134491,0.998126;887.567627,505.691437,1.286617;394.239990,552.781677,0.602000;496.695923,564.655396,1.047842;591.794922,556.619812,2.279464;689.593811,576.878906,1.627595;737.807678,558.785583,0.734465|586.989075,299.423035,0.870442;626.681396,295.840607,1.055740;537.835938,328.723114,1.248883;618.241699,337.020477,1.150908
249.705139,305.160858,1.188213;318.690674,334.822144,1.294382;431.851013,340.465271,1.461073;480.790466,327.104980,1.927123;693.706421,316.834198,2.142854;780.700928,353.115631,0.757397;849.206848,356.170380,1.466976;249.798111,415.074127,1.968598;320.006256,403.657837,1.928189;403.869751,415.456848,1.344154;493.703735,412.050964,1.302464;573.815918,400.742096,1.333085;683.196289,397.040314,2.057658;758.997864,400.259705,1.614920;865.806213,397.984253,2.157972;901.899414,399.861572,1.735915;253.587402,468.270813,1.098388;315.529633,463.223389,1.613606;445.603027,469.317139,1.175393;505.767365,514.369263,1.313313;568.789734,496.443817,1.620739;671.574829,506.112976,1.296509;764.142700,502.856415,0.858488;887.668701,505.453796,1.505607;394.291534,552.562378,1.117991;496.766083,564.449463,1.519952;591.893982,556.401733,1.731397;689.656189,576.761536,1.688125;737.851868,558.570862,0.955378|587.123352,299.084442,1.060622;626.824524,295.492279,1.054614;537.897766,328.379028,0.745214;618.333679,336.612915,1.167716
