x,y,z
0.069072,0.030921,0.013
0.074669,0.021659,0.013
0.087356,0.022309,0.013
0.091852,0.031772,0.013
0.088263,0.039293,0.013
0.079238,0.041627,0.013
0.058411,0.034978,0.013
0.060756,0.045818,0.013
0.05223,0.040645,0.013
0.052341,0.030533,0.013
0.05699,0.024508,0.013
0.065724,0.038543,0.013
0.064172,0.025237,0.013
0.06703,0.016646,0.013
0.059719,0.017781,0.013
0.050538,0.019314,0.013
0.01754,0.017577,0.013
0.025535,0.016841,0.013
0.097245,0.040336,0.013
0.10306,0.047798,0.013
0.019217,0.042125,0.013
0.030861,0.04585,0.013
0.018446,0.034961,0.013
0.012592,0.047571,0.013
0.096786,0.01688,0.013
0.096603,0.02488,0.013
0.042991,0.043873,0.013
0.045801,0.037248,0.013
0.072009,0.043873,0.013
0.081458,0.014617,0.013
0.03258,0.014423,0.013
0.084396,0.0468,0.013
